year,verslagnaam,voornaam,match_achternaam,fractie,functie,words,turns,days
2026,Hermans,Sophie,Hermans,VVD,"minister van Klimaat en Groene Groei, viceminister-president",189704,1083,25
2026,Van Campen,Thom,Campen,VVD,lid Tweede Kamer,181537,10500,60
2026,Van Weel,David,Weel,,minister van Justitie en Veiligheid,178152,908,25
2026,Sterk,Mirjam,Sterk,,"minister van Langdurige Zorg, Jeugd en Sport",175869,1008,21
2026,Tielen,Judith,Tielen,VVD,lid Tweede Kamer,171162,1100,20
2026,Aartsen,Thierry,Aartsen,VVD,lid Tweede Kamer,151593,807,20
2026,Van der Plas,Caroline,Plas,BBB,lid Tweede Kamer,140893,1734,51
2026,Ceder,Don,Ceder,ChristenUnie,lid Tweede Kamer,137792,1034,52
2026,Flach,André,Flach,SGP,lid Tweede Kamer,133249,1011,46
2026,Dobbe,Sarah,Dobbe,SP,lid Tweede Kamer,127324,1076,51
2026,Grinwis,Pieter,Grinwis,ChristenUnie,lid Tweede Kamer,125936,989,52
2026,Karremans,Vincent,Karremans,,"staatssecretaris Jeugd, Preventie en Sport",123304,690,20
2026,Van den Brink,Bart,Brink,CDA,"minister van Asiel en Migratie, viceminister-president",121444,708,17
2026,Jetten,Rob,Jetten,D66,lid Tweede Kamer,114891,761,11
2026,Vermeer,Henk,Vermeer,BBB,lid Tweede Kamer,109187,1361,61
2026,Berendsen,Tom,Berendsen,EP/CDA,minister van Buitenlandse Zaken,107506,707,16
2026,Bikker,Mirjam,Bikker,ChristenUnie,lid Tweede Kamer,107132,727,45
2026,Van Bruggen,Claudia,Bruggen,,staatssecretaris van Justitie en Veiligheid,107065,516,18
2026,Boekholt-O'Sullivan,Elanor,Boekholt-O'Sullivan,,minister van Volkshuisvesting en Ruimtelijke Ordening,101522,715,18
2026,Heerma,Pieter,Heerma,CDA,lid Tweede Kamer,100031,467,16
2026,Kostić,Ines,Kostić,PvdD,lid Tweede Kamer,99172,1084,50
2026,Vijlbrief,Hans,Vijlbrief,D66,Lid Tweede Kamer,99013,655,18
2026,Heinen,Eelco,Heinen,VVD,minister van Financiën,98034,419,10
2026,Westerveld,Lisa,Westerveld,GroenLinks,lid Tweede Kamer,97984,617,45
2026,Beckerman,Sandra,Beckerman,SP,lid Tweede Kamer,95589,977,48
2026,Erkens,Silvio,Erkens,VVD,lid Tweede Kamer,94846,586,22
2026,Dassen,Laurens,Dassen,Volt,lid Tweede Kamer,93752,958,52
2026,Dijk,Jimmy,Dijk,SP,lid Tweede Kamer,92162,927,46
2026,Ceulemans,Simon,Ceulemans,JA21,lid Tweede Kamer,90178,980,47
2026,Van Houwelingen,Pepijn,Houwelingen,FVD,lid Tweede Kamer,84916,645,40
2026,Van Baarle,Stephan,Baarle,DENK,lid Tweede Kamer,84276,825,47
2026,Keijzer,Mona,Keijzer,CDA,lid Tweede Kamer,83881,961,41
2026,Moorman,Marjolein,Moorman,GroenLinks-PvdA,lid Tweede Kamer,83751,1779,37
2026,Ellian,Ulysse,Ellian,VVD,lid Tweede Kamer,82200,1175,39
2026,Letschert,Rianne,Letschert,,"minister van Onderwijs, Cultuur en Wetenschap",81884,469,12
2026,Michon-Derkzen,Ingrid,Michon-Derkzen,VVD,lid Tweede Kamer,81808,2165,41
2026,Boswijk,Derk,Boswijk,CDA,lid Tweede Kamer,74246,390,13
2026,Boomsma,Diederik,Boomsma,JA21,lid Tweede Kamer,71168,658,44
2026,Tieman,Robert,Tieman,,minister van Infrastructuur en Waterstaat,70832,336,8
2026,Yeşilgöz-Zegerius,Dilan,Yeşilgöz-Zegerius,VVD,minister van Justitie en Veiligheid,70452,297,11
2026,Stoffer,Chris,Stoffer,SGP,lid Tweede Kamer,70199,663,46
2026,Van den Berg,Daniël,Berg,JA21,lid Tweede Kamer,70078,662,36
2026,Bertram,Annet,Bertram,,staatssecretaris van Infrastructuur en Waterstaat,69802,489,18
2026,De Hoop,Habtamu,Hoop,GroenLinks-PvdA,lid Tweede Kamer,69469,588,38
2026,Zwinkels,Jantine,Zwinkels,CDA,lid Tweede Kamer,69266,1210,40
2026,Sjoerdsma,Sjoerd,Sjoerdsma,D66,lid Tweede Kamer,68986,290,12
2026,Heutink,Hidde,Heutink,PVV,lid Tweede Kamer,63792,668,43
2026,Straatman,Jeltje,Straatman,CDA,lid Tweede Kamer,63621,386,45
2026,Van der Burg,Eric,Burg,VVD,staatssecretaris van Justitie en Veiligheid,63224,372,22
2026,Van Essen,Jaimi,Essen,,"minister van Landbouw, Visserij, Voedselzekerheid en Natuur",62818,608,12
2026,Bromet,Laura,Bromet,GroenLinks-PvdA,lid Tweede Kamer,62530,1817,38
2026,Van der Lee,Tom,Lee,GroenLinks-PvdA,lid Tweede Kamer,62233,1583,34
2026,de Groot,Peter,Groot,VVD,lid Tweede Kamer,62042,1103,34
2026,Klaver,Jesse,Klaver,GroenLinks,lid Tweede Kamer,61442,528,16
2026,Ergin,Doğukan,Ergin,DENK,lid Tweede Kamer,58972,527,39
2026,Piri,Kati,Piri,GroenLinks-PvdA,lid Tweede Kamer,58660,730,35
2026,Van Veldhoven-van der Meer,Stientje,Veldhoven-van,,minister van Klimaat en Groene Groei,57949,308,9
2026,Patijn,Mariëtte,Patijn,GroenLinks-PvdA,lid Tweede Kamer,57238,550,26
2026,Wiersma,Femke,Wiersma,BBB,"minister van Landbouw, Visserij, Voedselzekerheid en Natuur",56574,466,46
2026,Mohandis,Mohammed,Mohandis,GroenLinks-PvdA,lid Tweede Kamer,54851,1073,25
2026,Hoogeveen,Michiel,Hoogeveen,JA21,lid Tweede Kamer,54255,414,38
2026,van Dijk,Diederik,Dijk,SGP,lid Tweede Kamer,54142,464,51
2026,Rooderkerk,Ilana,Rooderkerk,D66,lid Tweede Kamer,53833,425,26
2026,Markuszower,Gidi,Markuszower,PVV,lid Tweede Kamer,53627,590,37
2026,Bushoff,Julian,Bushoff,GroenLinks-PvdA,lid Tweede Kamer,52240,412,29
2026,Van Asten,Robert,Asten,D66,lid Tweede Kamer,50350,419,29
2026,Paulusma,Wieke,Paulusma,D66,lid Tweede Kamer,50338,2416,27
2026,Claassen,René,Claassen,PVV,lid Tweede Kamer,49545,534,43
2026,Herbert,Heleen,Herbert,,minister van Economische Zaken en Klimaat,49089,276,10
2026,Van Brenk,Corrie,Brenk,50PLUS,lid Tweede Kamer,48655,469,37
2026,De Bat,Jo-Annes,Bat,,staatssecretaris van Klimaat en Groene Groei,48578,293,10
2026,Brekelmans,Ruben,Brekelmans,VVD,lid Tweede Kamer,48254,265,11
2026,Kathmann,Barbara,Kathmann,GroenLinks-PvdA,lid Tweede Kamer,48242,470,27
2026,Neijenhuis,Stephan,Neijenhuis,D66,lid Tweede Kamer,47606,355,23
2026,Struijs,Jan,Struijs,50PLUS,lid Tweede Kamer,47064,346,48
2026,Krul,Harmen,Krul,CDA,lid Tweede Kamer,46472,1186,37
2026,Clemminck,Ranjith,Clemminck,JA21,lid Tweede Kamer,46371,351,25
2026,Kisteman,Arend,Kisteman,VVD,lid Tweede Kamer,46128,661,32
2026,Den Hollander,Renate,Hollander,VVD,lid Tweede Kamer,45025,619,28
2026,Coenradie,Ingrid,Coenradie,JA21,staatssecretaris van Justitie en Veiligheid,44462,398,35
2026,Teunissen,Christine,Teunissen,PvdD,lid Tweede Kamer,44378,450,43
2026,Van Oosten,Foort,Oosten,VVD,lid Tweede Kamer,44303,270,5
2026,Kröger,Suzanne,Kröger,GroenLinks,lid Tweede Kamer,44157,551,31
2026,Aerdts,Willemijn,Aerdts,,staatssecretaris Digitale Economie en Soevereiniteit,43646,235,10
2026,Jumelet,Henk,Jumelet,CDA,lid Tweede Kamer,43348,336,34
2026,Nanninga,Annabel,Nanninga,JA21,lid Tweede Kamer,42510,333,29
2026,Faber,Marjolein,Faber,PVV,minister van Asiel en Migratie,42268,442,34
2026,Van Veldhoven-van der Meer,Stientje,Veldhoven,,minister van Klimaat en Groene Groei,40864,211,5
2026,Wendel,Hilde,Wendel,VVD,lid Tweede Kamer,40653,394,38
2026,Synhaeve,Marijke,Synhaeve,D66,lid Tweede Kamer,40294,594,23
2026,Klos,Felix,Klos,D66,lid Tweede Kamer,39974,369,26
2026,Van Ark,Elles,Ark,CDA,lid Tweede Kamer,39714,307,28
2026,Eerenberg,Eelco,Eerenberg,,staatssecretaris van Financiën,38993,189,9
2026,Paternotte,Jan,Paternotte,D66,lid Tweede Kamer,36417,317,10
2026,Boelsma-Hoekstra,Luciënne,Boelsma-Hoekstra,CDA,lid Tweede Kamer,36358,245,29
2026,Bontenbal,Henri,Bontenbal,CDA,lid Tweede Kamer,35852,304,8
2026,van Dijk,Inge,Dijk,CDA,lid Tweede Kamer,35816,289,30
2026,Maeijer,Vicky,Maeijer,PVV,lid Tweede Kamer,35694,261,31
2026,Sneller,Joost,Sneller,D66,lid Tweede Kamer,35077,346,27
2026,Goudzwaard,Maarten,Goudzwaard,JA21,lid Tweede Kamer,34766,352,33
2026,Van Oosterhout,Sjoukje,Oosterhout,GroenLinks-PvdA,lid Tweede Kamer,34570,347,29
2026,El Abassi,Ismail,Abassi,DENK,lid Tweede Kamer,34556,383,41
2026,Bruijn,Jan,Bruijn,,"minister van Volksgezondheid, Welzijn en Sport",33151,148,3
2026,Tseggai,Mikal,Tseggai,GroenLinks-PvdA,lid Tweede Kamer,31996,325,28
2026,Wilders,Geert,Wilders,PVV,lid Tweede Kamer,31309,207,13
2026,Koorevaar,Jan,Koorevaar,CDA,lid Tweede Kamer,31288,752,18
2026,Paul,Mariëlle,Paul,VVD,staatssecretaris Funderend Onderwijs en Emancipatie,31261,141,3
2026,Van Duijvenvoorde,Peter,Duijvenvoorde,FVD,lid Tweede Kamer,30930,244,29
2026,Steen,Hanneke,Steen,CDA,lid Tweede Kamer,30526,595,28
2026,Vellinga-Beemsterboer,Marieke,Vellinga-Beemsterboer,D66,lid Tweede Kamer,30424,542,21
2026,Bamenga,Mpanzu,Bamenga,D66,lid Tweede Kamer,30343,502,17
2026,Martens-America,Claire,Martens-America,VVD,lid Tweede Kamer,30233,273,29
2026,Podt,Anne-Marijke,Podt,D66,lid Tweede Kamer,29736,396,22
2026,Van Eijk,Wendy,Eijk,VVD,lid Tweede Kamer,29165,542,29
2026,Jansen,Chris,Jansen,PVV,staatssecretaris Openbaar Vervoer en Milieu,28899,394,29
2026,Oosterhuis,Henk-Jan,Oosterhuis,D66,lid Tweede Kamer,28737,395,21
2026,Stultiens,Luc,Stultiens,GroenLinks-PvdA,lid Tweede Kamer,28602,421,22
2026,Eerdmans,Joost,Eerdmans,JA21,lid Tweede Kamer,28594,385,18
2026,van den Brink,Tijs,Brink,CDA,lid Tweede Kamer,28235,283,33
2026,Ouwehand,Esther,Ouwehand,PvdD,lid Tweede Kamer,27915,247,12
2026,Schenk,Milan,Schenk,FVD,lid Tweede Kamer,27915,220,17
2026,Bosma,Martin,Bosma,PVV,lid Tweede Kamer,27586,201,13
2026,Van der Werf,Hanneke,Werf,D66,lid Tweede Kamer,27489,299,24
2026,Armut,Etkin,Armut,CDA,lid Tweede Kamer,27429,308,31
2026,Van Lanschot,Maes,Lanschot,CDA,lid Tweede Kamer,27239,276,28
2026,Mutluer,Songül,Mutluer,GroenLinks-PvdA,lid Tweede Kamer,26915,319,25
2026,Van Marum,Eddie,Marum,,staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties,26775,157,4
2026,Mulder,Edgar,Mulder,PVV,lid Tweede Kamer,26576,258,26
2026,de Vries,Aukje,Vries,VVD,lid Tweede Kamer,25843,202,3
2026,Moes,Gouke,Moes,,"minister van Onderwijs, Cultuur en Wetenschap",25402,302,5
2026,Van Meetelen,Rachel,Meetelen,PVV,lid Tweede Kamer,25279,272,26
2026,Boon,Maikel,Boon,PVV,lid Tweede Kamer,24742,169,26
2026,Graus,Dion,Graus,PVV,lid Tweede Kamer,24571,423,16
2026,Huizenga,Renilde,Huizenga,D66,lid Tweede Kamer,24017,596,18
2026,Schutz,Björn,Schutz,VVD,lid Tweede Kamer,23955,192,19
2026,Dekker,Ralf,Dekker,FVD,lid Tweede Kamer,23764,406,23
2026,Tijmstra,Eveline,Tijmstra,CDA,lid Tweede Kamer,23547,163,29
2026,Vliegenthart,Lisa,Vliegenthart,GroenLinks-PvdA,lid Tweede Kamer,23313,314,25
2026,Nobel,Jurgen,Nobel,VVD,staatssecretaris Participatie en Integratie,22820,210,20
2026,De Vos,Lidewij,Vos,FVD,lid Tweede Kamer,22631,231,15
2026,Müller,Alisha,Müller,VVD,lid Tweede Kamer,22502,203,27
2026,Vervuurt,Marc,Vervuurt,D66,lid Tweede Kamer,22391,175,18
2026,De Beer,Martin,Beer,VVD,lid Tweede Kamer,22103,153,25
2026,Abdi,Fatihya,Abdi,GroenLinks-PvdA,lid Tweede Kamer,22066,154,19
2026,Hamstra,Sarath,Hamstra,CDA,lid Tweede Kamer,21415,159,26
2026,Rijkaart,Frank,Rijkaart,,minister van Binnenlandse Zaken en Koninkrijksrelaties,21274,156,4
2026,Prickaertz,Erwin,Prickaertz,PVV,lid Tweede Kamer,20894,235,24
2026,Köse,Ulaş,Köse,D66,lid Tweede Kamer,20761,165,14
2026,El Boujdaini,Sarah,Boujdaini,D66,lid Tweede Kamer,20587,187,23
2026,Ten Hove,Tamara,Hove,Groep Markuszower,lid Tweede Kamer,20122,380,31
2026,Moinat,Nicole,Moinat,Groep Markuszower,lid Tweede Kamer,19592,156,32
2026,Heijnen,Eugène,Heijnen,,"staatssecretaris Fiscaliteit, Belastingdienst en Douane",19081,136,2
2026,Rutte,Arno,Rutte,VVD,lid Tweede Kamer,19076,124,4
2026,Zalinyan,Ani,Zalinyan,PRO,lid Tweede Kamer,19075,188,25
2026,Mooiman,Jeremy,Mooiman,PVV,lid Tweede Kamer,18960,153,24
2026,Kops,Alexander,Kops,PVV,lid Tweede Kamer,18942,130,27
2026,Verkuijlen,Ruud,Verkuijlen,VVD,lid Tweede Kamer,18818,176,22
2026,Becker,Bente,Becker,VVD,lid Tweede Kamer,18750,145,11
2026,Raijer,Annette,Raijer,PVV,lid Tweede Kamer,18535,321,25
2026,Vondeling,Marina,Vondeling,PVV,lid Tweede Kamer,18221,197,26
2026,Van Leijen,Robin,Leijen,D66,lid Tweede Kamer,16813,185,18
2026,Russcher,Tom,Russcher,FVD,lid Tweede Kamer,16750,272,41
2026,Maes,Nicole,Maes,VVD,lid Tweede Kamer,16023,179,23
2026,van Dijck,Tony,Dijck,PVV,lid Tweede Kamer,15883,153,8
2026,Bikkers,Bart,Bikkers,VVD,lid Tweede Kamer,15678,130,24
2026,Lahlah,Esmah,Lahlah,GroenLinks-PvdA,lid Tweede Kamer,15277,98,10
2026,De Roon,Raymond,Roon,PVV,lid Tweede Kamer,15158,179,20
2026,Lohman,Joris,Lohman,CDA,lid Tweede Kamer,15091,129,17
2026,Bühler,Judith,Bühler,CDA,lid Tweede Kamer,13502,117,18
2026,Biekman,Anouschka,Biekman,D66,lid Tweede Kamer,13398,290,13
2026,Oualhadj,Ouafa,Oualhadj,D66,lid Tweede Kamer,13052,105,9
2026,Huidekooper,Dion,Huidekooper,D66,lid Tweede Kamer,12897,195,11
2026,Mathlouti,Mahjoub,Mathlouti,D66,lid Tweede Kamer,12274,137,20
2026,Bevers,Harry,Bevers,VVD,lid Tweede Kamer,12234,68,14
2026,Stöteler,Sebastiaan,Stöteler,PVV,lid Tweede Kamer,11921,159,25
2026,Palmen-Schlangen,Sandra,Palmen-Schlangen,,staatssecretaris Herstel Toeslagen,10825,121,3
2026,Schilder,Shanna,Schilder,Groep Markuszower,lid Tweede Kamer,10613,82,23
2026,Belhirch,Fatimazhra,Belhirch,D66,lid Tweede Kamer,10522,134,7
2026,Van Meijeren,Gideon,Meijeren,FVD,lid Tweede Kamer,10259,72,8
2026,Jagtenberg,Michelle,Jagtenberg,D66,lid Tweede Kamer,9749,89,10
2026,Palmen,Sandra,Palmen,NSC,staatssecretaris Herstel en Toeslagen,9627,61,1
2026,Van der Maas,Erik,Maas,VVD,lid Tweede Kamer,9473,88,8
2026,Lammers,Annelotte,Lammers,Groep Markuszower,lid Tweede Kamer,9155,101,25
2026,Van Veldhoven-van der Meer,Stientje,Veldhoven,,minister van Klimaat en Groene Groei,9098,45,1
2026,Rajkowski,Queeny,Rajkowski,VVD,lid Tweede Kamer,8924,81,10
2026,Poortman,André,Poortman,CDA,lid Tweede Kamer,8457,53,9
2026,Vlottes,Elmar,Vlottes,PVV,lid Tweede Kamer,8437,53,14
2026,Van Groningen,Dieke,Groningen,VVD,lid Tweede Kamer,8322,60,9
2026,Pouw-Verweij,Nicki,Pouw-Verweij,JA21,lid Tweede Kamer,8237,39,2
2026,Dijk,Heera,Dijk,D66,lid Tweede Kamer,7756,80,11
2026,van Dijk,Emiel,Dijk,PVV,lid Tweede Kamer,7502,53,11
2026,Meulenkamp,Wim,Meulenkamp,VVD,lid Tweede Kamer,7290,106,9
2026,Jansen,Freek,Jansen,FVD,lid Tweede Kamer,7241,78,7
2026,Biekman,Anouchka,Biekman,D66,lid Tweede Kamer,7135,71,7
2026,Schoonis,Jan,Schoonis,D66,lid Tweede Kamer,6639,107,13
2026,Becking,Koen,Becking,,"staatssecretaris van Onderwijs, Cultuur en Wetenschap",5873,83,3
2026,Tuinman,Gijs,Tuinman,BBB,lid Tweede Kamer,5297,3,1
2026,Rummenie,Jean,Rummenie,,"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",4377,46,3
2026,Kummeling,Henk,Kummeling,,,3976,14,1
2026,Bolhuis,Wimar,Bolhuis,PRO,lid Tweede Kamer,3121,19,5
2026,Bijlsma,Bas,Bijlsma,,,2819,15,1
2026,Van Berkel,Nathalie,Berkel,D66,lid Tweede Kamer,2778,30,3
2026,Marijnissen,Lilian,Marijnissen,SP,lid Tweede Kamer,2530,8,1
2026,De Kort,Daan,Kort,VVD,lid Tweede Kamer,2175,18,3
2026,Kuijsters,Sjef,Kuijsters,,,2014,6,1
2026,Duisenberg,Pieter,Duisenberg,VVD,lid Tweede Kamer,1802,1,1
2026,Lawson,Rick,Lawson,,,1802,5,1
2026,Nijboer,Irene,Nijboer,,,1762,7,1
2026,Hoitinga,Peter,Hoitinga,,,1708,7,1
2026,De Lange,Sarah,Lange,,,1580,6,1
2026,Sonneveld,Merlijne,Sonneveld,,,1553,6,1
2026,Buhrer,Joeri,Buhrer,,,1543,3,1
2026,Plug,Margreet,Plug,,,1520,7,1
2026,Van Zutphen,Reinier,Zutphen,,Nationale ombudsman,1519,1,1
2026,Ganzevles,Josanne,Ganzevles,,,1430,7,1
2026,Zuydweg,Victor,Zuydweg,,,1423,7,1
2026,Klijn,Daniel,Klijn,,,1411,5,1
2026,Park,Sabine,Park,,,1320,5,1
2026,Kamsma,Wietske,Kamsma,,,1299,5,1
2026,Boekhoudt,Piet,Boekhoudt,,,1104,5,1
2026,Van Deursen,Alexander,Deursen,,,1101,5,1
2026,Naves,Henk,Naves,,,1037,5,1
2026,Azmani,Malik,Azmani,VVD,lid Tweede Kamer,979,2,1
2026,Van Lanschot,Reinier,Lanschot,EP/VOLT,lid Europees Parlement,942,5,1
2026,Van Breukelen,Merit,Breukelen,,,919,4,1
2026,Cohen Tervaert,Sophie,Cohen,,,912,4,1
2026,Lenaers,Jeroen,Lenaers,EP/CDA,lid Europees Parlement,891,2,1
2026,Gerbrandy,Gerben-Jan,Gerbrandy,EP/D66,lid Europees Parlement,888,2,1
2026,Sondervan,Karien,Sondervan,,,787,4,1
2026,Smit,Sander,Smit,EP/BBB,lid Europees Parlement,759,6,1
2026,Ruissen,Bert-Jan,Ruissen,EP/SGP,lid Europees Parlement,748,2,1
2026,Gotink,Dirk,Gotink,EP/NSC,lid Europees Parlement,736,1,1
2026,Chahim,Mohammed,Chahim,EP/PvdA,lid Europees Parlement,709,1,1
2026,Van Deijck,Claudia,Deijck,,,691,4,1
2026,Bolier,Wouter,Bolier,,,649,3,1
2026,Westera,Frederique,Westera,,,550,5,1
2025,Van Weel,David,Weel,,minister van Justitie en Veiligheid,324709,1707,49
2025,Hermans,Sophie,Hermans,VVD,"minister van Klimaat en Groene Groei, viceminister-president",306058,1421,34
2025,Grinwis,Pieter,Grinwis,ChristenUnie,lid Tweede Kamer,248917,1558,87
2025,Van Nispen,Michiel,Nispen,SP,lid Tweede Kamer,243250,1740,64
2025,Ceder,Don,Ceder,ChristenUnie,lid Tweede Kamer,219883,1671,86
2025,Struycken,Teun,Struycken,,staatssecretaris Rechtsbescherming,212034,877,33
2025,Heinen,Eelco,Heinen,VVD,minister van Financiën,207735,832,24
2025,Veldkamp,Caspar,Veldkamp,NSC,minister van Buitenlandse Zaken,198947,1130,28
2025,Keijzer,Mona,Keijzer,CDA,lid Tweede Kamer,197593,1019,32
2025,Bosma,Martin,Bosma,PVV,lid Tweede Kamer,187978,8327,70
2025,Karremans,Vincent,Karremans,,"staatssecretaris Jeugd, Preventie en Sport",186590,972,29
2025,Wiersma,Femke,Wiersma,BBB,"minister van Landbouw, Visserij, Voedselzekerheid en Natuur",174685,1053,23
2025,Flach,André,Flach,SGP,lid Tweede Kamer,171355,1177,71
2025,Brekelmans,Ruben,Brekelmans,VVD,lid Tweede Kamer,170423,611,30
2025,Schoof,Dick,Schoof,,"minister-president, minister van Algemene Zaken",162517,1023,22
2025,Van Campen,Thom,Campen,VVD,lid Tweede Kamer,161404,4414,66
2025,Uitermark,Judith,Uitermark,NSC,minister van Binnenlandse Zaken en Koninkrijksrelaties,161124,816,25
2025,Vermeer,Henk,Vermeer,BBB,lid Tweede Kamer,159906,1729,85
2025,Van Hijum,Eddy,Hijum,CDA,"minister van Sociale Zaken en Werkgelegenheid, viceminister-president",159103,859,26
2025,Van der Lee,Tom,Lee,GroenLinks-PvdA,lid Tweede Kamer,153077,4814,66
2025,Dobbe,Sarah,Dobbe,SP,lid Tweede Kamer,144816,1293,71
2025,Van der Plas,Caroline,Plas,BBB,lid Tweede Kamer,142219,1434,70
2025,Paternotte,Jan,Paternotte,D66,lid Tweede Kamer,141221,1401,64
2025,Jansen,Chris,Jansen,PVV,staatssecretaris Openbaar Vervoer en Milieu,140990,952,29
2025,Aartsen,Thierry,Aartsen,VVD,lid Tweede Kamer,140322,1047,26
2025,Paul,Mariëlle,Paul,VVD,staatssecretaris Funderend Onderwijs en Emancipatie,134835,678,23
2025,Beckerman,Sandra,Beckerman,SP,lid Tweede Kamer,134365,1039,67
2025,Bikker,Mirjam,Bikker,ChristenUnie,lid Tweede Kamer,128759,782,60
2025,Bruins,Eppo,Bruins,ChristenUnie,lid Tweede Kamer,127659,657,18
2025,Van Baarle,Stephan,Baarle,DENK,lid Tweede Kamer,125754,1198,74
2025,Tielen,Judith,Tielen,VVD,lid Tweede Kamer,119321,1638,48
2025,Van Oostenbruggen,Tjebbe,Oostenbruggen,NSC,lid Tweede Kamer,113586,487,18
2025,de Vries,Aukje,Vries,VVD,lid Tweede Kamer,113584,2050,43
2025,van Dijk,Inge,Dijk,CDA,lid Tweede Kamer,112011,954,58
2025,Ellian,Ulysse,Ellian,VVD,lid Tweede Kamer,111890,806,55
2025,Krul,Harmen,Krul,CDA,lid Tweede Kamer,111709,883,70
2025,Dassen,Laurens,Dassen,Volt,lid Tweede Kamer,111621,1110,73
2025,Boswijk,Derk,Boswijk,CDA,lid Tweede Kamer,111285,806,58
2025,Sneller,Joost,Sneller,D66,lid Tweede Kamer,110063,760,61
2025,de Groot,Peter,Groot,VVD,lid Tweede Kamer,109671,1581,62
2025,Kostić,Ines,Kostić,PvdD,lid Tweede Kamer,108117,1206,73
2025,Postma,Wytske,Postma,NSC,lid Tweede Kamer,107672,1824,52
2025,Bontenbal,Henri,Bontenbal,CDA,lid Tweede Kamer,107189,764,37
2025,Michon-Derkzen,Ingrid,Michon-Derkzen,VVD,lid Tweede Kamer,105930,1377,62
2025,Van Marum,Eddie,Marum,,staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties,105077,704,17
2025,De Hoop,Habtamu,Hoop,GroenLinks-PvdA,lid Tweede Kamer,104011,781,50
2025,Podt,Anne-Marijke,Podt,D66,lid Tweede Kamer,103851,1051,56
2025,Nobel,Jurgen,Nobel,VVD,staatssecretaris Participatie en Integratie,101359,556,22
2025,Paulusma,Wieke,Paulusma,D66,lid Tweede Kamer,100562,1859,46
2025,Dijk,Jimmy,Dijk,SP,lid Tweede Kamer,100249,846,62
2025,Madlener,Barry,Madlener,PVV,lid Tweede Kamer,99239,511,15
2025,Rooderkerk,Ilana,Rooderkerk,D66,lid Tweede Kamer,98945,799,55
2025,van Dijk,Diederik,Dijk,SGP,lid Tweede Kamer,98328,785,74
2025,Westerveld,Lisa,Westerveld,GroenLinks,lid Tweede Kamer,96213,588,49
2025,Eerdmans,Joost,Eerdmans,JA21,lid Tweede Kamer,95180,773,71
2025,Beljaarts,Dirk,Beljaarts,,minister van Economische Zaken,94804,485,20
2025,Stoffer,Chris,Stoffer,SGP,lid Tweede Kamer,94798,889,65
2025,Koops,Willem,Koops,NSC,lid Tweede Kamer,94704,912,42
2025,Agema,Fleur,Agema,PVV,lid Tweede Kamer,92308,669,15
2025,Thijssen,Joris,Thijssen,GroenLinks-PvdA,lid Tweede Kamer,91888,1769,43
2025,Van Oosten,Foort,Oosten,VVD,lid Tweede Kamer,88167,442,12
2025,Mutluer,Songül,Mutluer,GroenLinks-PvdA,lid Tweede Kamer,86379,648,57
2025,Bushoff,Julian,Bushoff,GroenLinks-PvdA,lid Tweede Kamer,81429,680,45
2025,Piri,Kati,Piri,GroenLinks-PvdA,lid Tweede Kamer,81197,915,58
2025,Yeşilgöz-Zegerius,Dilan,Yeşilgöz-Zegerius,VVD,minister van Justitie en Veiligheid,81126,471,17
2025,Ergin,Doğukan,Ergin,DENK,lid Tweede Kamer,79988,632,59
2025,Bromet,Laura,Bromet,GroenLinks-PvdA,lid Tweede Kamer,79082,1443,52
2025,Tuinman,Gijs,Tuinman,BBB,lid Tweede Kamer,78994,232,11
2025,Teunissen,Christine,Teunissen,PvdD,lid Tweede Kamer,78789,749,58
2025,Wijen-Nass,Marieke,Wijen-Nass,BBB,lid Tweede Kamer,78286,1077,65
2025,Faber,Marjolein,Faber,PVV,minister van Asiel en Migratie,77060,780,18
2025,Vijlbrief,Hans,Vijlbrief,D66,Lid Tweede Kamer,75843,1121,56
2025,Kröger,Suzanne,Kröger,GroenLinks,lid Tweede Kamer,74975,879,46
2025,El Abassi,Ismail,El,DENK,lid Tweede Kamer,73595,771,57
2025,Klever,Reinette,Klever,PVV,minister voor Buitenlandse Handel en Ontwikkelingshulp,72041,471,13
2025,van Dijk,Olger,Dijk,NSC,lid Tweede Kamer,71747,485,42
2025,Koekkoek,Marieke,Koekkoek,Volt,lid Tweede Kamer,70673,613,52
2025,Van der Burg,Eric,Burg,VVD,staatssecretaris van Justitie en Veiligheid,70671,819,56
2025,Van Houwelingen,Pepijn,Houwelingen,FVD,lid Tweede Kamer,69343,606,38
2025,Van Eijk,Wendy,Eijk,VVD,lid Tweede Kamer,68328,666,52
2025,Rummenie,Jean,Rummenie,,"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",67355,509,18
2025,Timmermans,Frans,Timmermans,GroenLinks-PvdA,lid Tweede Kamer,66900,472,24
2025,Kathmann,Barbara,Kathmann,GroenLinks-PvdA,lid Tweede Kamer,66825,366,39
2025,Szabó,Zsolt,Szabó,,staatssecretaris Koninkrijksrelaties en Digitalisering,66144,345,14
2025,Kamminga,Roelien,Kamminga,VVD,lid Tweede Kamer,64977,1475,31
2025,Six Dijkstra,Jesse,Six,NSC,lid Tweede Kamer,64610,468,44
2025,Mohandis,Mohammed,Mohandis,GroenLinks-PvdA,lid Tweede Kamer,63653,1546,29
